Flow ID, Flow Duration,Idle Mean, Label,clustering_results
172.16.0.5-192.168.50.4-17434-17434-6,55660446,13077905.5,1,1.0
172.16.0.5-192.168.50.4-47212-47212-6,66292161,13258399.8,1,1.0
172.16.0.5-192.168.50.4-14496-14496-6,34498360,17249178.5,1,2.0
172.16.0.5-192.168.50.4-7633-7633-6,36363756,18181852.0,1,2.0
172.16.0.5-192.168.50.4-52041-52041-6,63129225,11974406.0,1,1.0
192.168.50.8-8.8.8.8-63951-53-17,55915,0.0,0,2.0
172.16.0.5-192.168.50.4-27083-27083-6,43356751,12840650.0,1,1.0
172.16.0.5-192.168.50.4-54208-54208-6,51864196,10372754.0,1,1.0
172.217.0.98-192.168.50.8-443-61824-6,170012,0.0,0,2.0
192.168.50.6-8.8.8.8-54540-53-17,46798,0.0,0,2.0
192.168.50.6-52.84.34.26-56244-443-6,132634,0.0,0,1.0
192.168.50.9-31.13.80.36-43722-443-6,274,0.0,0,1.0
172.16.0.5-192.168.50.4-61989-61989-6,16999996,8499908.5,1,1.0
172.217.3.110-192.168.50.9-80-55870-6,40266,0.0,0,1.0
172.217.9.227-192.168.50.6-443-56265-6,117188458,58417186.5,0,2.0
192.168.50.6-74.208.236.171-58143-80-6,564335,0.0,0,1.0
192.168.50.6-4.2.2.4-62482-53-17,20679,0.0,0,1.0
172.16.0.5-192.168.50.4-35570-35570-6,61169602,20389866.33333333,1,2.0
172.217.6.238-192.168.50.9-80-36636-6,2,0.0,0,1.0
172.217.11.34-192.168.50.8-443-61063-6,327,0.0,0,1.0
172.16.0.5-192.168.50.4-39263-39263-6,29897674,14948835.5,1,1.0
192.168.50.6-4.2.2.4-51000-53-17,21069,0.0,0,2.0
172.16.0.5-192.168.50.4-37188-37188-6,50520378,10104017.4,1,1.0
172.16.0.5-192.168.50.4-44593-44593-6,26106230,13053005.5,1,1.0
192.168.50.9-72.167.239.239-43106-80-6,227,0.0,0,2.0
172.16.0.5-192.168.50.4-33381-33381-6,66694511,16673600.0,1,1.0
172.16.0.5-192.168.50.4-61767-1351-6,45941161,11485206.25,1,1.0
172.16.0.5-192.168.50.4-39353-39353-6,48942438,12235559.25,1,1.0
172.217.2.161-192.168.50.8-443-62115-6,429,0.0,0,2.0
192.168.50.6-4.2.2.4-59964-53-17,20888,0.0,0,2.0
192.168.50.6-4.2.2.4-60037-53-17,21044,0.0,0,2.0
172.16.0.5-192.168.50.4-41642-41642-6,69231813,13846340.0,1,1.0
172.16.0.5-192.168.50.4-23646-23646-6,56013331,14003280.75,1,1.0
192.168.50.9-23.194.108.224-52148-443-6,21496,0.0,0,2.0
172.16.0.5-192.168.50.4-56899-56899-6,59908557,14977087.5,1,1.0
192.168.50.9-69.172.216.111-59812-443-6,85,0.0,0,1.0
192.168.50.9-31.13.80.36-43932-443-6,1,0.0,0,1.0
